Dennis M. Snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hiroshi  Ishikawa,Fumio  Suzuki,Fumihiko  Kozakura,Akifumi  Makinouchi,Mika  Miyagishima,Yoshio  Izumida,Masaaki  Aoshima,Yasuo  Yamane,,,,,,,,,,,,,,,,,,,,,,,
Sanguthevar  Rajasekaran,Keith W. Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sukumar  Ghosh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. B. Haag,D. S. Watkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomasz  Imie&#314,inski,B. R. Badrinath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas  Birrer,Walter  Bischofberger,Erich  Gamma,Bruno Schaffer,Andre Weinand,,,,,,,,,,,,,,,,,,,,,,,,,,
Laura K. Dillon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry  Prakken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David  Kurlander,Steven  Feiner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruth M. Davies,Robert M. O'Keefe,Huw T. O. Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nand  Kumar,Ranga  Vemuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayank  Thakore,Daniel C. St. Clair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ray R. Hashemi,Aslam H. Chowdhury,Nancy L. Stafford,John R. Talburt,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam R. Thangiah,Kendall E. Nygard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. K. El-Najdawi,Anthony C. Stylianou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen T. Kent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gershon  Elber,Elaine  Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert M. Harlan,David M. Patrone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tung-Kuang  Wu,Martin L. Brady,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klaus-U. H.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manojit  Sarkar,Scott S. Snibbe,Oren J. Tversky,Steven P. Reiss,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc H. Brown,Marc A. Najork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yoshinobu  Tonomura,Akihito  Akutsu,Kiyotaka  Otsuji,Toru  Sadakata,,,,,,,,,,,,,,,,,,,,,,,,,,,
